decile_change,percent_housing,percent_covid,percent_equity,percent_total
0-1 Decile Decrease,0.37572866256049275,0.3377832160140783,0.4820034095908491,0.4503959524857017
0-1 Decile Increase,0.3727865156181258,0.3116750989881214,0.4097695776506819,0.4159013418389793
1-2 Decile Decrease,0.09269137703475583,0.1214116805983282,0.05210624725032996,0.060726462824461064
1-2 Decile Increase,0.081019027716674,0.10675593928728552,0.03903156621205455,0.046799384073911134
2-3 Decile Decrease,0.02748295204575451,0.04211119665640123,0.00790530136383634,0.01174109106907171
2-3 Decile Increase,0.022822261328640563,0.03850912890453145,0.005471843378794545,0.007506599208095028
3-4 Decile Decrease,0.009170149582050154,0.013803343598768147,0.0013335899692036956,0.0029696436427628686
3-4 Decile Increase,0.007286625604927409,0.013294654641443027,9.348878134623845e-4,0.0016635503739551253
4-5 Decile Decrease,0.0038770347558293003,0.004935657721073471,3.712054553453586e-4,7.424109106907172e-4
4-5 Decile Increase,0.002419709634843819,0.003945776506819182,3.712054553453586e-4,5.911790585129785e-4
5-6 Decile Decrease,0.0016772987241531017,0.0020210074791025077,8.249010118785745e-5,2.3372195336559612e-4
5-6 Decile Increase,0.0010311262648482183,0.001416080070391553,1.2373515178178618e-4,2.199736031676199e-4
6-7 Decile Decrease,5.63682358117026e-4,0.001072371315442147,6.874175098988121e-5,1.0998680158380995e-4
6-7 Decile Increase,4.53695556533216e-4,3.712054553453586e-4,6.874175098988121e-5,8.249010118785745e-5
7-8 Decile Decrease,2.3372195336559612e-4,2.7496700395952486e-4,1.3748350197976244e-5,5.4993400791904974e-5
7-8 Decile Increase,2.3372195336559612e-4,2.199736031676199e-4,1.3748350197976244e-5,4.124505059392873e-5
8-9 Decile Decrease,9.62384513858337e-5,5.4993400791904974e-5,NA,1.3748350197976244e-5
8-9 Decile Increase,1.5123185217773868e-4,8.249010118785745e-5,NA,NA
9-10 Decile Decrease,6.874175098988121e-5,2.7496700395952487e-5,NA,1.3748350197976244e-5
9-10 Decile Increase,6.874175098988121e-5,8.249010118785745e-5,NA,1.3748350197976244e-5
No Change,1.3748350197976243e-4,1.5123185217773868e-4,3.299604047514298e-4,1.7872855257369116e-4
