GEOID,num_renters
01073001100,804
01073001400,310
01073002000,885
01073003802,870
01073004000,1055
01073005101,404
01073010001,991
01073010302,1090
01007010001,192
01007010002,591
01007010003,163
01007010004,817
01069040202,881
01069041200,627
01069040500,526
01069041500,633
01069042000,400
01069040100,274
01069040700,519
01069041000,1094
01069041100,745
01069041800,113
01069041900,694
01069041600,568
01069040600,552
01071950700,680
01071951100,519
01071950200,469
01071950300,573
01071950600,612
01071950100,660
01071951000,220
01071950500,247
01071950800,766
01071950900,218
01071950400,102
01121011600,669
01013952800,85
01103005108,511
01103005701,182
01103005702,597
01105686800,58
01009050102,1107
01009050300,457
01009050700,570
01067030300,172
01059973400,278
01059972900,433
01059973300,343
01059973500,259
01059973000,688
01059973200,389
01059973700,547
01113030700,949
01113030300,570
01113030800,595
01113030902,935
01113031100,209
01113030901,954
01113030500,389
01113030600,1627
01113031000,231
01113030200,564
01113031200,235
01019955900,421
01019956100,327
01019956000,647
01019955800,520
01039962400,209
01089002100,1196
01089010200,162
01089011300,424
01089000901,295
01089001000,732
01089002721,505
01089002912,77
01089010100,658
01089011011,264
01089010402,395
01089010702,370
01089011014,796
01089000502,311
01089000702,704
01089001200,987
01089000602,263
01089002802,573
01089011013,475
01089002000,261
01089001801,146
01089010902,270
01089002911,153
01089000701,634
01001020200,257
01001021000,151
01001020300,481
01001020900,311
01001020100,168
01001020500,2317
01001020400,350
01001020600,255
01001020700,540
01081041800,777
01081040200,1710
01081041300,468
01021060401,364
01021060200,208
01021060500,236
01021060101,657
01021060102,875
01021060600,226
01021060700,507
01033020100,694
01033020400,64
01033020500,584
01033020600,868
01033020701,539
01033020300,604
01033020802,296
01033020200,336
01033020801,243
01033021000,394
01037961200,166
01037961100,277
01037961000,394
01045020200,188
01045020500,432
01045021300,361
01045021400,1155
01111000200,287
01111000300,291
01111000400,541
01111000500,433
01111000600,170
01113030401,1609
01113030402,396
01115040103,389
01115040104,328
01115040105,213
01115040106,579
01115040204,1109
01115040205,228
01115040401,378
01115040402,235
01117030102,315
01117030103,50
01117030211,71
01117030212,1709
01077011700,320
01083020600,761
01083020700,796
01083020900,580
01117030608,251
01117030330,466
01049961200,51
01049961400,356
01049960300,847
01049960900,575
01049961300,664
01049961000,402
01049960100,504
01049960700,822
01053970600,699
01053970100,469
01053970400,276
01053970700,525
01053969800,807
01053970200,246
01053970300,324
01053970500,427
01053969900,373
01073011111,470
01073011301,338
01073011302,315
01073011904,156
01073012304,250
01073012305,183
01073012703,671
01073012704,138
01073012802,335
01073012803,1314
01073012910,1224
01073012911,96
01073012912,2021
01063060200,340
01015002000,513
01015000800,278
01015000900,566
01015001400,317
01015002102,376
01015002502,190
01015000500,222
01015002600,267
01015000400,355
01015001000,725
01015002103,1325
01081042002,1268
01081041900,438
01081041400,721
01081041700,558
01081040602,1171
01081041600,1095
01107050300,298
01107050000,435
01107050200,71
01015002501,333
01015001600,470
01015002101,716
01015002400,367
01015001800,533
01015001100,955
01015002200,173
01017954700,492
01017954000,739
01017954200,230
01017954300,1117
01017954500,662
01017954400,139
01017953800,254
01017953900,329
01017954600,414
01025957500,88
01097006200,150
01097006901,1436
01097004000,578
01097006104,251
01097000200,541
01097000600,279
01097000902,339
01097001002,323
01097002501,529
01073012913,1169
01073012914,583
01073012915,867
01073014001,145
01073014002,178
01073014408,1244
01073014409,156
01073014410,678
01073014412,219
01073014413,223
01077011101,576
01107050400,584
01107050100,502
01073014105,720
01073014104,441
01065040200,62
01065040100,61
01065040000,276
01065040500,74
01065040300,139
01065040400,753
01055000200,675
01055000900,286
01055001100,320
01055010501,368
01055010900,53
01055000500,112
01055000600,199
01055001600,400
01055000300,695
01055000400,133
01055000700,318
01055001000,229
01055010100,186
01055010502,346
01055010700,172
01055001300,654
01055001700,466
01055001200,761
01055010300,84
01055000800,62
01055010200,471
01055010800,92
01055011100,516
01049960600,709
01049960200,342
01073014405,744
01073002303,958
01073000100,614
01073000300,621
01073010602,1213
01073011500,299
01073011703,1029
01073012104,158
01073012403,265
01073001600,387
01073003900,340
01073010701,330
01073010802,14
01073011205,93
01073000500,789
01073002100,760
01073002400,1321
01073003002,778
01073003300,227
01073004200,618
01073005903,919
01073005908,970
01073010200,501
01073010703,72
01073010705,226
01073011104,759
01073011206,232
01101001900,380
01101002300,388
01101002400,252
01101003200,1148
01101003302,1327
01101006100,252
01101000200,230
01101000700,326
01101000900,285
01101002900,1688
01101003301,571
01101005102,705
01101005301,295
01101001400,619
01101000500,680
01101001600,940
01101002100,551
01077011102,653
01077011603,373
01077011604,365
01077011801,331
01077011802,412
01081040603,159
01081040604,1204
01081040901,608
01073000400,662
01073003200,387
01073003500,519
01073003700,986
01073004701,1434
01073005600,991
01073010301,763
01081042003,336
01081042004,992
01081040902,1754
01081042005,420
01081042006,194
01081042101,274
01081042102,657
01083020101,331
01083020102,588
01083020201,498
01083020202,316
01085780800,279
01085781000,262
01085781100,229
01085781200,324
01087231400,158
01087231500,242
01087231601,85
01123962100,649
01123962200,582
01123962300,653
01123962400,437
01123962501,281
01123962502,115
01123962600,186
01123962700,606
01125011401,402
01125011402,761
01125011901,1013
01125011902,814
01129043900,150
01129044000,315
01129044100,216
01129044200,196
01129044300,162
01131034700,150
01131034800,642
01131035100,365
01131035200,80
01101002201,545
01101002800,1201
01101005403,1653
01101005603,1587
01101006000,297
01133965900,183
01043965100,255
01043965200,177
01043964300,412
01043964500,272
01043964800,867
01043964200,590
01043964900,643
01043964700,423
01043965500,318
01043965000,1292
01043965700,135
01043965600,58
01043964400,177
01043964600,230
01043965300,365
01043964100,687
01051030200,171
01051030600,562
01051030100,665
01051030800,951
01051031300,1071
01051030400,973
01051030500,363
01051030300,279
01051031200,137
01051031000,1170
01051031100,365
01069040800,1037
01069041400,612
01069042100,415
01069040900,560
01069041700,161
01025957902,484
01025957901,407
01025957800,398
01025957700,66
01057020300,611
01057020000,112
01057020100,141
01057020200,492
01101000400,835
01101001700,689
01101002500,428
01101003000,435
01101005902,377
01101001000,426
01101001200,477
01101001300,487
01101002202,156
01101003100,510
01101005101,295
01101005406,1206
01101005604,72
01117030213,919
01117030214,50
01117030215,218
01117030216,420
01117030217,223
01117030332,21
01117030333,73
01117030334,56
01117030336,71
01117030337,70
01117030340,274
01117030341,551
01117030342,59
01117030344,265
01117030345,174
01117030405,213
01117030406,456
01117030407,370
01117030408,416
01117030501,584
01117030502,47
01117030703,437
01117030704,71
01117030900,261
01117980000,0
01119011600,70
01121010101,359
01121010102,354
01121010201,265
01121010202,369
01119011300,1042
01119011500,554
01121010301,466
01127020200,566
01127020600,220
01127021100,427
01127021200,104
01127021500,267
01127020900,361
01127021400,157
01127021900,74
01127020800,461
01127020300,643
01127021700,361
01127021300,312
01029959500,200
01029959600,630
01029959800,277
01029959700,249
01035960300,154
01035960600,443
01035960200,84
01035960500,264
01035960400,143
01063060100,504
01095030904,506
01097006406,348
01097006407,283
01097006501,285
01097006502,275
01097006701,371
01097006702,302
01097007201,203
01097007202,171
01097007400,517
01097007500,151
01097007600,209
01097007700,236
01097990000,0
01099075600,127
01099075700,221
01047956100,612
01047956201,202
01047956202,163
01047956300,875
01047956400,770
01047956500,917
01047956600,487
01047956701,288
01047956702,133
01047956800,549
01047956900,271
01047957000,148
01047957100,123
01047957200,177
01047957300,754
01097001100,654
01097000800,951
01097002302,285
01097002700,669
01097003100,330
01097003405,64
01097003703,1173
01097005600,517
01097005700,370
01097006000,414
01097006403,265
01097000401,261
01097000500,256
01097001901,280
01097001902,533
01097002000,121
01097002200,368
01097003202,716
01097003408,326
01097003902,168
01097004800,172
01099075800,224
01099075900,728
01099076000,511
01099076100,928
01099076200,230
01101005407,905
01101005408,443
01101005409,566
01101005410,1766
01101005501,133
01097005000,240
01097005900,333
01097006105,405
01097006405,1313
01097003301,1017
01097000702,349
01097003800,199
01097001200,250
01097003203,839
01097005800,447
01097002400,576
01097003710,619
01133965501,172
01133965502,168
01133965503,85
01133965600,440
01133965700,511
01133965800,416
01057020400,191
01101002000,298
01101000600,427
01101001500,598
01119011400,203
01073013002,373
01073013200,383
01073013902,213
01073000800,717
01073002305,392
01073003600,694
01073003803,809
01073005200,632
01073005800,1566
01073010100,345
01073010702,604
01073010804,48
01073011209,529
01073011705,336
01073011804,634
01073012401,372
01073014102,260
01073014203,454
01073014302,1905
01073014404,1025
01073011704,174
01089000302,555
01089002502,1326
01089002600,993
01089010621,104
01069040400,203
01069040201,1274
01101005800,75
01101000100,225
01101001100,684
01101002600,536
01101002700,299
01101005700,72
01101005901,485
01101000300,218
01101005302,180
01101005402,1321
01101001800,616
01095030600,730
01095031000,633
01095031100,885
01095030801,634
01095031200,614
01095030202,305
01095030802,1040
01121010302,312
01123961900,131
01123962000,434
01087231602,433
01087231603,47
01087231700,149
01087231800,216
01087231900,268
01087232000,230
01087232100,308
01087232200,318
01087232300,126
01089001301,1688
01089001302,464
01089001401,282
01089000403,457
01089001402,2237
01089003000,823
01089003100,919
01089010623,172
01089010624,193
01091972900,1089
01091973000,310
01091973100,214
01091973200,193
01091973300,50
01091973400,243
01093964000,220
01093964100,219
01093964200,49
01093964300,660
01093964400,601
01093964500,139
01093964600,546
01093964700,548
01095030401,509
01095030402,191
01095030701,571
01095030702,592
01095030903,965
01097002800,1012
01097003302,802
01097003407,432
01095030902,371
01095030300,316
01095030201,514
01097003704,700
01097003705,1130
01097004100,156
01097005200,259
01097006302,401
01097006402,575
01101005502,521
01101005503,238
01101005504,26
01101005605,479
01101005606,976
01101005607,472
01101005608,6
01101005609,1151
01101005610,154
01101005611,893
01101005612,186
01115040501,338
01115040300,485
01115040201,506
01115040502,456
01115040203,1197
01003011300,223
01003010705,1494
01003010200,318
01003010800,676
01003011201,684
01003011401,595
01003011000,277
01003010100,208
01003010500,614
01003011202,662
01003010400,302
01003010300,454
01003010703,1185
01003010704,480
01003010701,865
01003011403,2420
01003010600,486
01077010300,396
01077010600,1017
01097007101,326
01097003402,528
01121011800,697
01121010400,216
01121010600,1021
01121012000,264
01121011900,395
01121011000,323
01125010101,43
01125010204,1178
01125010301,531
01125010302,218
01125010701,293
01125010802,183
01125012405,1411
01125012503,129
01125010102,38
01125010201,135
01125010407,990
01125010601,197
01125010804,294
01125012305,1236
01125012404,633
01125010202,469
01125010406,312
01125010500,206
01125010602,489
01125010702,233
01125010303,158
01125010403,586
01125010404,564
01097000901,350
01097001001,496
01077011000,1080
01077011502,294
01077011200,270
01077011400,230
01077011501,977
01077010900,1840
01013953400,260
01073011600,251
01073011901,602
01073012001,268
01073012907,572
01073013400,794
01097006404,1344
01097006902,414
01097007000,369
01097007102,345
01097007300,563
01097001502,455
01097000402,454
01001020801,186
01001020802,496
01003010903,364
01003010904,328
01003010905,1029
01003010906,516
01003011101,705
01003011102,229
01003011405,353
01003011406,598
01003011407,585
01003011408,9
01003011501,717
01003011502,1962
01003011601,461
01003011602,235
01003990000,0
01009050601,92
01009050602,221
01011952500,144
01015000700,613
01015001201,491
01015001202,495
01015981901,0
01015981902,0
01015981903,0
01019955701,294
01019955702,224
01025957601,57
